Date,League,Home,Away,Odds_H,Odds_D,Odds_A,Odds_H_X,Odds_H_A,Odds_X_A,Pred_H,Pred_A,Winning_team,Winning_prob,Winning_bet,Winning_bet_final,bet_type,bet_type_order
2024-02-21,PREMIER LEAGUE ,Liverpool,Luton Town,1.23,7.2,12.5,1.03,1.09,4.3,0.83,0.17,Liverpool,0.83,1.23,1.23,safest_bet,3
2024-02-23,SERIE A ,Bologna,Hellas Verona,1.6,3.7,6.4,1.12,1.22,2.4,0.86,0.14,Bologna,0.86,1.6,1.6,safest_bet,3
2024-02-24,PREMIER LEAGUE ,Brighton and Hove Albion,Everton,1.85,4.05,4.05,1.26,1.25,2.03,0.89,0.11,Brighton and Hove Albion,0.89,1.85,1.85,safest_bet,3
2024-02-24,PREMIER LEAGUE ,Manchester United,Fulham,1.55,4.65,5.9,1.14,1.2,2.63,0.82,0.18,Manchester United,0.82,1.55,1.55,safest_bet,3
2024-02-24,PREMIER LEAGUE ,Bournemouth,Manchester City,7.3,5.3,1.42,2.97,1.16,1.1,0.29,0.71,Manchester City,0.71,1.42,1.42,safest_bet,3
2024-02-24,LALIGA ,Barcelona,Getafe,1.4,5.0,8.0,1.07,1.15,3.0,0.86,0.14,Barcelona,0.86,1.4,1.4,safest_bet,3
2024-02-24,LALIGA ,Almeria,Atletico Madrid,4.5,4.0,1.75,2.15,1.22,1.2,0.3,0.7,Atletico Madrid,0.7,1.75,1.2,safest_bet,3
2024-02-25,BUNDESLIGA ,Dortmund,Hoffenheim,1.52,5.0,5.5,1.15,1.15,2.6,0.9,0.1,Dortmund,0.9,1.52,1.52,safest_bet,3
2024-02-25,SERIE A ,Juventus,Frosinone,1.31,5.35,9.6,1.05,1.12,3.4,0.86,0.14,Juventus,0.86,1.31,1.31,safest_bet,3
2024-02-25,SERIE A ,Lecce,Internazionale,7.3,4.65,1.42,2.85,1.17,1.09,0.28,0.72,Internazionale,0.72,1.42,1.42,safest_bet,3
2024-02-25,EREDIVISIE ,Almere City,Feyenoord,10.5,5.9,1.27,3.75,1.11,1.02,0.29,0.71,Feyenoord,0.71,1.27,1.27,safest_bet,3
2024-02-25,LIGA PORTUGAL ,Gil Vicente FC,Porto,7.5,5.0,1.38,3.0,1.14,1.07,0.35,0.65,Porto,0.65,1.38,1.38,safest_bet,3
2024-02-25,LIGA PORTUGAL ,Rio Ave,Sporting CP,8.0,5.0,1.36,3.1,1.14,1.06,0.34,0.66,Sporting CP,0.66,1.36,1.36,safest_bet,3
